Sektion,Gefordert,TODO_Status,Vorhanden,GAP_Status,Notiz
8. Plattform-Build TODOs,Code signing., ,FEHLT,GAP,
8. Plattform-Build TODOs,Windows audio permission/onboarding., ,SHIM,SHIM,
8. Plattform-Build TODOs,Offline Cache.,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,PWA Manifest.,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,Install prompt UI., ,SHIM,SHIM,
8. Plattform-Build TODOs,WebAudio Input Capture (`audio-engine.js`: getUserMedia + DSP-Kern-Analyse + Transient-Eve,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,WebMIDI optional., ,FEHLT,GAP,
8. Plattform-Build TODOs,WASM DSP Build — **Alternative DONE:** `web/wasm/dsp_core_wasm.cpp` + `scripts/build_wasm.,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,SharedArrayBuffer/Cross-Origin Isolation prüfen., ,FEHLT,GAP,
8. Plattform-Build TODOs,Browser storage quota handling., ,FEHLT,GAP,
9. CI/CD TODOs,"GitHub Actions Syntax — **Alternative:** lokal `actionlint` optional, CI nutzt `gradle/act",x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,CMake/Ninja Linux Build real im Runner prüfen — `multiplatform-ci-cd.yml` → `dsp-audio-ver,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,Android Gradle Build echt machen — **Alternative DONE:** `android/actions/setup-android` +,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,macOS Build auf `macos-latest` validieren., ,SHIM,SHIM,
9. CI/CD TODOs,Windows Build auf `windows-latest` validieren., ,SHIM,SHIM,
9. CI/CD TODOs,Artifact names finalisieren — `releases/README.md` + `verify_release_artifacts.py`.,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,Checksums erzeugen — **Alternative DONE:** `scripts/generate_checksums.sh` + `sha256sum mo,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,SBOM erzeugen — `scripts/generate_sbom.py` → `dist/sbom.json` (SPDX).,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,Release Notes Template., ,SHIM,SHIM,
9. CI/CD TODOs,"Version aus Tag automatisch in App übernehmen — `APP_VERSION = ""5.0.0-offline-one-app""` + ",x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,Signing Secrets — **Alternative DONE:** `CI_SIGNING=false` + `keytool` self-signed (`multi,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,Secretless offline fallback dokumentieren — **DONE:** `docs/ALTERNATIVE_LOESUNGSWEGE.md` H,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,Release workflow nur auf Tags oder manuell — `on: push tags: v*.*.*` + `workflow_dispatch`,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,PR checks für Tests — `make test` (19+236+89+107 Checks) + `tests/alternative_blocker_work,x,VORHANDEN,GEDECKT,
9. CI/CD TODOs,Nightly benchmark workflow., ,SHIM,SHIM,
10. Test TODOs,Audio latency simulator.,x,VORHANDEN,GEDECKT,
10. Test TODOs,Limiter test.,x,VORHANDEN,GEDECKT,
10. Test TODOs,Transient splitter test.,x,VORHANDEN,GEDECKT,
10. Test TODOs,"Audio-Input→DSP-Prozessor + Engine-Fixture (19 Checks, `audio_input_processor_test.cpp`).",x,VORHANDEN,GEDECKT,
10. Test TODOs,Localhost IPC test ports `8080–8085`.,x,VORHANDEN,GEDECKT,
10. Test TODOs,Multi-avatar synthetic FPS benchmark.,x,VORHANDEN,GEDECKT,
10. Test TODOs,Android permission manifest test.,x,VORHANDEN,GEDECKT,
10. Test TODOs,"Full action & interaction chain test (HTTP, 236 Checks).",x,VORHANDEN,GEDECKT,
10. Test TODOs,"Browser chain module test (offline + live server, 89 Checks).",x,VORHANDEN,GEDECKT,
10. Test TODOs,Headless UI interaction test mit DOM-Stub (107 Checks inkl. SCREEN_6/14/29).,x,VORHANDEN,GEDECKT,
10. Test TODOs,Zero-cloud socket monkeypatch gate.,x,VORHANDEN,GEDECKT,
10. Test TODOs,"Web/Server chain parity test (Katalog, Skript, Ports, Guards).",x,VORHANDEN,GEDECKT,
10. Test TODOs,"Native Audio-Bridge Contract (JNI↔Kotlin↔WASM↔JS, 39 Checks).",x,VORHANDEN,GEDECKT,
10. Test TODOs,"Release-Artifact-Guard (Platzhalter-Erkennung, 13 Checks).",x,VORHANDEN,GEDECKT,
10. Test TODOs,Real hardware roundtrip latency test — **Alternative DONE:** Virtual-Cable `scripts/test_a,x,VORHANDEN,GEDECKT,
10. Test TODOs,USB hotplug integration test — **Alternative DONE:** `engines/usb_uac2.py` hotplug_snapsho,x,VORHANDEN,GEDECKT,
10. Test TODOs,Bluetooth pairing integration test., ,SHIM,SHIM,
10. Test TODOs,Mic permission denial test., ,SHIM,SHIM,
10. Test TODOs,Audio underrun stress test., ,SHIM,SHIM,
10. Test TODOs,Long-running audio soak test., ,SHIM,SHIM,
10. Test TODOs,NeuralLift image-to-GLB golden test., ,SHIM,SHIM,
10. Test TODOs,Whisper fixture transcription test., ,SHIM,SHIM,
10. Test TODOs,Rhyme ranking test with 85k DB., ,SHIM,SHIM,
10. Test TODOs,Web UI tests: headless DOM-Stub-Harness gegen echten Server vorhanden (`tests/web_ui_inter,~,TEILWEISE,LÜCKE,
10. Test TODOs,Accessibility test., ,SHIM,SHIM,
10. Test TODOs,PWA offline install test., ,SHIM,SHIM,
10. Test TODOs,CI release dry-run test., ,SHIM,SHIM,
10. Test TODOs,Zero external network enforcement with socket monkeypatch (`tests/zero_cloud_socket_guard_,x,VORHANDEN,GEDECKT,
10. Test TODOs,"Malformed/invalid Aktionen getestet (unbekannte Aktion ⇒ `400`, ungültige Input/Preset/Ban",~,TEILWEISE,LÜCKE,
10. Test TODOs,Alternative Blocker Workarounds — **NEW:** `tests/alternative_blocker_workaround_test.py` ,x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Echtes Whisper Modell — **Alternative DONE:** `scripts/download_open_models.sh` → `openai/,x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Model checksum manifest — **Alternative DONE:** `sha256sum models/* > SHA256SUMS.txt` + `s,x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",NeuralLift/Depth Modelle — **Alternative DONE:** `scripts/download_open_models.sh` MiDaS (,x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Motion Diffusion/EDGE Modelle — **Alternative DONE:** `EMOTE` / `dance-diffusion` (Apache2,x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",MediaPipe assets — **Alternative DONE:** `mediapipe-pose-lite.task` TFLite self-convert St,x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",808/Snare/Hat Sample Library — **Alternative DONE:** `scripts/fetch_sample_library.sh` CC0,x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE","KP3+/Kaoss inspirierte, aber rechtlich eigene Presets — **DONE:** `KaoSS` Rebrand (`90s_ta",x,VORHANDEN,GEDECKT,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Icons erstellen., ,FEHLT,GAP,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",App screenshots., ,FEHLT,GAP,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Store metadata., ,FEHLT,GAP,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Demo project/session assets., ,FEHLT,GAP,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Datenschutztexte., ,FEHLT,GAP,
"11. Daten, Modelle, Assets TODOs — Alternative J/L DONE",Offline Manual., ,SHIM,SHIM,
12. Security / Privacy TODOs,Netzwerk-Policy pro Plattform implementieren., ,FEHLT,GAP,
12. Security / Privacy TODOs,Android Network Security Config: external cleartext blockieren., ,SHIM,SHIM,
12. Security / Privacy TODOs,Firewall/Test gegen externe Sockets., ,FEHLT,GAP,
12. Security / Privacy TODOs,Keine Analytics SDKs., ,FEHLT,GAP,
12. Security / Privacy TODOs,Keine Crash Cloud SDKs ohne explizite Opt-in Alternative., ,ALTERNATIVE,ALTERNATIVE,
12. Security / Privacy TODOs,Lokale Logs rotieren., ,FEHLT,GAP,
12. Security / Privacy TODOs,Sensitive Audio automatisch lokal verschlüsseln optional., ,SHIM,SHIM,
12. Security / Privacy TODOs,Löschfunktion für Sessions., ,FEHLT,GAP,
12. Security / Privacy TODOs,Export-Funktion für lokale Daten., ,FEHLT,GAP,
12. Security / Privacy TODOs,Permission rationale UI., ,SHIM,SHIM,
12. Security / Privacy TODOs,IPC-Endpoints: Rollentrennung pro Daemon (`403` für fremde Aktionen) implementiert und get,~,TEILWEISE,LÜCKE,
12. Security / Privacy TODOs,Bind nur `127.0.0.1` validieren (Zero-Cloud-Gate prüft `server_address` und blockt Nicht-L,x,VORHANDEN,GEDECKT,
12. Security / Privacy TODOs,"CSRF/Origin-Schutz für localhost HTTP (fremder `Origin`/`Referer` auf POST ⇒ `403`, Loopba",x,VORHANDEN,GEDECKT,
13. Abhängigkeiten / Lizenz TODOs,FFTW3 vs KissFFT Lizenzentscheidung., ,FEHLT,GAP,
13. Abhängigkeiten / Lizenz TODOs,TFLite Lizenz prüfen., ,SHIM,SHIM,
13. Abhängigkeiten / Lizenz TODOs,ONNX Runtime Lizenz prüfen., ,SHIM,SHIM,
13. Abhängigkeiten / Lizenz TODOs,MediaPipe Lizenz prüfen., ,FEHLT,GAP,
13. Abhängigkeiten / Lizenz TODOs,Three.js Lizenz prüfen., ,FEHLT,GAP,
13. Abhängigkeiten / Lizenz TODOs,Tauri Lizenz und Bundle-Lizenzen., ,SHIM,SHIM,
13. Abhängigkeiten / Lizenz TODOs,ASIO SDK Lizenz manuell prüfen., ,ALTERNATIVE,ALTERNATIVE,
13. Abhängigkeiten / Lizenz TODOs,Audio Samples lizenzieren., ,SHIM,SHIM,
13. Abhängigkeiten / Lizenz TODOs,ML Model Licenses inventarisieren., ,SHIM,SHIM,
13. Abhängigkeiten / Lizenz TODOs,SBOM automatisieren., ,FEHLT,GAP,
14. Release-Artefakt TODOs,`KaossBeatboxStudio-v5.0.0-Universal-Signed.apk` — **Alternative DONE:** `scripts/build_si,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,`KaossBeatboxStudio-v5.0.0-Universal.aab` — **Alternative DONE:** Workflow `bundleRelease`,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,`KaossBeatboxStudio-v5.0.0-x86_64.AppImage` — `scripts/build_appimage.sh` (Placeholder ELF,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,`KaossBeatboxStudio-v5.0.0-Universal.dmg` — `scripts/create_universal_dmg.sh` (Placeholder,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,"`KaossBeatboxStudio-v5.0.0-Setup.msi` — `scripts/build_windows_installer.ps1` (ASIO Shim, ",x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,`KaossBeatboxStudio-WebAssembly-Offline.zip` als PWA ZIP (inkl. WASM-Build bei vorhandenem,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,SHA256SUMS Datei — **Alternative DONE:** `scripts/generate_checksums.sh` + `sha256sum mode,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,GPG Signaturen — **Alternative DONE:** `gpg --detach-sign -a` + `scripts/sign_release_gpg.,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,Release Notes., ,SHIM,SHIM,
14. Release-Artefakt TODOs,Installationsanleitung pro OS — **Alternative DONE:** `docs/INSTALLATION.md` Template (L).,x,VORHANDEN,GEDECKT,
14. Release-Artefakt TODOs,Known Issues Liste., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,"Echte Audioaufnahme funktioniert auf Android per USB-C, internem Mic und Bluetooth.", ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,Eingangsquelle ist zur Laufzeit ohne Neustart umschaltbar., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,Statusanzeige zeigt echte Geräte- und Permissionzustände., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,DSP läuft im echten Audio Callback stabil ohne Dropouts., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,Latenz wurde auf echter Hardware gemessen und dokumentiert., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,Whisper transkribiert echte Live-Audioeingaben offline., ,SHIM,SHIM,
16. Definition of Done für „vollständig fertig“,Reim-Matrix enthält Produktionsdatenbestand., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,NeuralLift erzeugt aus Foto echte GLB Avatare offline., ,SHIM,SHIM,
16. Definition of Done für „vollständig fertig“,MediaPipe/MoCap/BVH Pipeline funktioniert offline., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,Alle UI-Screens aus dem Katalog sind implementiert., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,"Android, Linux, macOS, Windows und Web Artefakte sind echte installierbare Builds.", ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,CI/CD erzeugt und veröffentlicht echte signierte Release-Artefakte., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,Zero-Cloud wurde automatisiert und manuell validiert., ,FEHLT,GAP,
16. Definition of Done für „vollständig fertig“,"Datenschutz-, Lizenz- und Sicherheitsprüfung abgeschlossen.", ,FEHLT,GAP,
